Training_Record_ID,Operator_ID,Operator_Name,Course_Code,Course_Name,Completion_Date,Expiry_Date,Result,Score,Provider,Certificate_Number,Medical_Fitness_Code,Home_Zone,Comment
TRN0001,OP1002,Aisha Naidoo,SAFE01,Operational Safety,2025-01-16,2027-01-16,Pass,87,Provider A,CERT-00001,MF-R,Zone-West,Uploaded manually
TRN0002,OP1003,Thabo Dlamini,EQP02,Mobile Equipment,2025-01-31,2027-01-31,Pass,81,Provider B,CERT-00002,MF-B,Zone-East,Refresher required
TRN0003,OP1004,Mia Jacobs,EQP02,Mobile Equipment,2025-02-15,2027-02-15,Fail,68,Provider A,CERT-00003,MF-R,Zone-South,Refresher required
TRN0004,OP1005,Kagiso Molefe,DATA01,Data Awareness,2025-03-02,2027-03-02,Pass,89,Internal,CERT-00004,MF-A,Zone-North,Refresher required
TRN0005,OP1006,Zanele Ncube,EQP02,Mobile Equipment,2025-03-17,2027-03-17,Fail,60,Internal,CERT-00005,MF-A,Zone-West,Uploaded manually
TRN0006,OP1007,Noah Smith,SAFE01,Operational Safety,2025-01-04,2027-04-01,Pass,84,Internal,CERT-00006,MF-R,Zone-East,
TRN0007,OP1008,Ayanda Khumalo,SAFE01,Operational Safety,2025-04-16,2027-04-16,Pass,72,Internal,CERT-00007,MF-R,Zone-South,Uploaded manually
TRN0008,OP1001,Lebo Mokoena,DATA01,Data Awareness,2025-05-01,2025-04-11,Pass,91,Provider B,CERT-00008,MF-A,Zone-North,
TRN0009,OP1002,Aisha Naidoo,EQP02,Mobile Equipment,2025-05-16,2027-05-16,Pass,93,Internal,CERT-00009,MF-B,Zone-West,Refresher required
TRN0010,OP1003,Thabo Dlamini,DATA01,Data Awareness,2025-05-31,2027-05-31,Fail,55,Provider A,CERT-00010,MF-B,Zone-East,
TRN0011,OP1004,Mia Jacobs,DATA01,Data Awareness,2025-06-15,2027-06-15,Pass,84,Provider B,CERT-00011,MF-A,Zone-South,Uploaded manually
TRN0012,OP1005,Kagiso Molefe,DATA01,Data Awareness,2025-06-30,2027-06-30,Fail,62,Provider A,CERT-00012,MF-A,Zone-North,Refresher required
